date,quarter,year,state,PI
2015-01-31,Q1,2015,AL,187042.8
2015-02-28,Q1,2015,AL,187042.8
2015-03-31,Q1,2015,AL,187042.8
2015-04-30,Q2,2015,AL,188248.7
2015-05-31,Q2,2015,AL,188248.7
2015-06-30,Q2,2015,AL,188248.7
2015-07-31,Q3,2015,AL,189748.3
2015-08-31,Q3,2015,AL,189748.3
2015-09-30,Q3,2015,AL,189748.3
2015-10-31,Q4,2015,AL,189806.0
2015-11-30,Q4,2015,AL,189806.0
2015-12-31,Q4,2015,AL,189806.0
2016-01-31,Q1,2016,AL,190785.4
2016-02-29,Q1,2016,AL,190785.4
2016-03-31,Q1,2016,AL,190785.4
2016-04-30,Q2,2016,AL,191772.0
2016-05-31,Q2,2016,AL,191772.0
2016-06-30,Q2,2016,AL,191772.0
2016-07-31,Q3,2016,AL,192487.5
2016-08-31,Q3,2016,AL,192487.5
2016-09-30,Q3,2016,AL,192487.5
2016-10-31,Q4,2016,AL,194082.8
2016-11-30,Q4,2016,AL,194082.8
2016-12-31,Q4,2016,AL,194082.8
2017-01-31,Q1,2017,AL,197343.1
2017-02-28,Q1,2017,AL,197343.1
2017-03-31,Q1,2017,AL,197343.1
2017-04-30,Q2,2017,AL,199014.2
2017-05-31,Q2,2017,AL,199014.2
2017-06-30,Q2,2017,AL,199014.2
2017-07-31,Q3,2017,AL,200457.5
2017-08-31,Q3,2017,AL,200457.5
2017-09-30,Q3,2017,AL,200457.5
2017-10-31,Q4,2017,AL,203184.2
2017-11-30,Q4,2017,AL,203184.2
2017-12-31,Q4,2017,AL,203184.2
2018-01-31,Q1,2018,AL,206139.7
2018-02-28,Q1,2018,AL,206139.7
2018-03-31,Q1,2018,AL,206139.7
2018-04-30,Q2,2018,AL,207809.1
2018-05-31,Q2,2018,AL,207809.1
2018-06-30,Q2,2018,AL,207809.1
2018-07-31,Q3,2018,AL,209457.0
2018-08-31,Q3,2018,AL,209457.0
2018-09-30,Q3,2018,AL,209457.0
2018-10-31,Q4,2018,AL,211604.9
2018-11-30,Q4,2018,AL,211604.9
2018-12-31,Q4,2018,AL,211604.9
2019-01-31,Q1,2019,AL,214330.6
2019-02-28,Q1,2019,AL,214330.6
2019-03-31,Q1,2019,AL,214330.6
2019-04-30,Q2,2019,AL,215693.3
2019-05-31,Q2,2019,AL,215693.3
2019-06-30,Q2,2019,AL,215693.3
2019-07-31,Q3,2019,AL,217250.7
2019-08-31,Q3,2019,AL,217250.7
2019-09-30,Q3,2019,AL,217250.7
2019-10-31,Q4,2019,AL,218521.5
2019-11-30,Q4,2019,AL,218521.5
2019-12-31,Q4,2019,AL,218521.5
2020-01-31,Q1,2020,AL,221936.4
2020-02-29,Q1,2020,AL,221936.4
2020-03-31,Q1,2020,AL,221936.4
2020-04-30,Q2,2020,AL,239172.50
2015-01-31,Q1,2015,AK,42417.9
2015-02-28,Q1,2015,AK,42417.9
2015-03-31,Q1,2015,AK,42417.9
2015-04-30,Q2,2015,AK,42548.1
2015-05-31,Q2,2015,AK,42548.1
2015-06-30,Q2,2015,AK,42548.1
2015-07-31,Q3,2015,AK,42547.4
2015-08-31,Q3,2015,AK,42547.4
2015-09-30,Q3,2015,AK,42547.4
2015-10-31,Q4,2015,AK,42510.0
2015-11-30,Q4,2015,AK,42510.0
2015-12-31,Q4,2015,AK,42510.0
2016-01-31,Q1,2016,AK,41703.9
2016-02-29,Q1,2016,AK,41703.9
2016-03-31,Q1,2016,AK,41703.9
2016-04-30,Q2,2016,AK,41657.6
2016-05-31,Q2,2016,AK,41657.6
2016-06-30,Q2,2016,AK,41657.6
2016-07-31,Q3,2016,AK,41702.2
2016-08-31,Q3,2016,AK,41702.2
2016-09-30,Q3,2016,AK,41702.2
2016-10-31,Q4,2016,AK,41918.8
2016-11-30,Q4,2016,AK,41918.8
2016-12-31,Q4,2016,AK,41918.8
2017-01-31,Q1,2017,AK,41979.7
