date,year,month,month_name,state,unemployment_rate
2016-01-01,2016,1,january,AL,6.0
2016-02-01,2016,2,february,AL,5.9
2016-03-01,2016,3,march,AL,5.9
2016-04-01,2016,4,april,AL,5.8
2016-05-01,2016,5,may,AL,5.8
2016-06-01,2016,6,june,AL,5.8
2016-07-01,2016,7,july,AL,5.8
2016-08-01,2016,8,august,AL,5.8
2016-09-01,2016,9,september,AL,5.9
2016-10-01,2016,10,october,AL,5.9
2016-11-01,2016,11,november,AL,5.8
2016-12-01,2016,12,december,AL,5.7
2017-01-01,2017,1,january,AL,5.4
2017-02-01,2017,2,february,AL,5.2
2017-03-01,2017,3,march,AL,4.9
2017-04-01,2017,4,april,AL,4.7
2017-05-01,2017,5,may,AL,4.5
2017-06-01,2017,6,june,AL,4.3
2017-07-01,2017,7,july,AL,4.2
2017-08-01,2017,8,august,AL,4.1
2017-09-01,2017,9,september,AL,4.0
2017-10-01,2017,10,october,AL,3.9
2017-11-01,2017,11,november,AL,3.9
2017-12-01,2017,12,december,AL,3.9
2018-01-01,2018,1,january,AL,3.9
2018-02-01,2018,2,february,AL,3.9
2018-03-01,2018,3,march,AL,4.0
2018-04-01,2018,4,april,AL,4.0
2018-05-01,2018,5,may,AL,4.0
2018-06-01,2018,6,june,AL,4.0
2018-07-01,2018,7,july,AL,4.0
2018-08-01,2018,8,august,AL,3.9
2018-09-01,2018,9,september,AL,3.8
2018-10-01,2018,10,october,AL,3.7
2018-11-01,2018,11,november,AL,3.7
2018-12-01,2018,12,december,AL,3.6
2019-01-01,2019,1,january,AL,3.6
2019-02-01,2019,2,february,AL,3.5
2019-03-01,2019,3,march,AL,3.3
2019-04-01,2019,4,april,AL,3.2
2019-05-01,2019,5,may,AL,3.0
2019-06-01,2019,6,june,AL,2.9
2019-07-01,2019,7,july,AL,2.8
2019-08-01,2019,8,august,AL,2.8
2019-09-01,2019,9,september,AL,2.7
2019-10-01,2019,10,october,AL,2.7
2019-11-01,2019,11,november,AL,2.7
2019-12-01,2019,12,december,AL,2.7
2020-01-01,2020,1,january,AL,2.7
2020-02-01,2020,2,february,AL,2.7
2020-03-01,2020,3,march,AL,3.0
2020-04-01,2020,4,april,AL,13.8
2020-05-01,2020,5,may,AL,9.6
2020-06-01,2020,6,june,AL,7.6
2020-07-01,2020,7,july,AL,7.9
2020-08-01,2020,8,august,AL,5.6
2020-09-01,2020,9,september,AL,6.7
2020-10-01,2020,10,october,AL,5.8
2016-01-01,2016,1,january,AK,6.7
2016-02-01,2016,2,february,AK,6.8
2016-03-01,2016,3,march,AK,6.8
2016-04-01,2016,4,april,AK,6.8
2016-05-01,2016,5,may,AK,6.9
2016-06-01,2016,6,june,AK,6.9
2016-07-01,2016,7,july,AK,6.9
2016-08-01,2016,8,august,AK,6.9
2016-09-01,2016,9,september,AK,6.9
2016-10-01,2016,10,october,AK,6.9
2016-11-01,2016,11,november,AK,6.9
2016-12-01,2016,12,december,AK,6.9
2017-01-01,2017,1,january,AK,6.9
2017-02-01,2017,2,february,AK,6.9
2017-03-01,2017,3,march,AK,6.9
2017-04-01,2017,4,april,AK,6.9
2017-05-01,2017,5,may,AK,6.9
2017-06-01,2017,6,june,AK,6.9
2017-07-01,2017,7,july,AK,6.9
2017-08-01,2017,8,august,AK,6.9
2017-09-01,2017,9,september,AK,6.9
2017-10-01,2017,10,october,AK,6.9
2017-11-01,2017,11,november,AK,6.8
2017-12-01,2017,12,december,AK,6.8
2018-01-01,2018,1,january,AK,6.7
2018-02-01,2018,2,february,AK,6.7
2018-03-01,2018,3,march,AK,6.6
2018-04-01,2018,4,april,AK,6.6
2018-05-01,2018,5,may,AK,6.5
2018-06-01,2018,6,june,AK,6.5
2018-07-01,2018,7,july,AK,6.4
2018-08-01,2018,8,august,AK,6.4
2018-09-01,2018,9,september,AK,6.3
2018-10-01,2018,10,october,AK,6.3
2018-11-01,2018,11,november,AK,6.2
2018-12-01,2018,12,december,AK,6.2
2019-01-01,2019,1,january,AK,6.1
2019-02-01,2019,2,february,AK,6.1
2019-03-01,2019,3,march,AK,6.1
2019-04-01,2019,4,april,AK,6.1
2019-05-01,2019,5,may,AK,6.2
2019-06-01,2019,6,june,AK,6.2
2019-07-01,2019,7,july,AK,6.2
2019-08-01,2019,8,august,AK,6.2
2019-09-01,2019,9,september,AK,6.2
2019-10-01,2019,10,october,AK,6.1
2019-11-01,2019,11,november,AK,6.1
2019-12-01,2019,12,december,AK,6.1
2020-01-01,2020,1,january,AK,6.0
2020-02-01,2020,2,february,AK,5.8
2020-03-01,2020,3,march,AK,5.2
2020-04-01,2020,4,april,AK,13.5
2020-05-01,2020,5,may,AK,12.7
2020-06-01,2020,6,june,AK,12.4
2020-07-01,2020,7,july,AK,11.6
2020-08-01,2020,8,august,AK,7.4
2020-09-01,2020,9,september,AK,7.2
2020-10-01,2020,10,october,AK,5.9
2016-01-01,2016,1,january,AZ,5.6
2016-02-01,2016,2,february,AZ,5.5
2016-03-01,2016,3,march,AZ,5.5
2016-04-01,2016,4,april,AZ,5.5
2016-05-01,2016,5,may,AZ,5.4
2016-06-01,2016,6,june,AZ,5.4
2016-07-01,2016,7,july,AZ,5.4
2016-08-01,2016,8,august,AZ,5.3
2016-09-01,2016,9,september,AZ,5.3
2016-10-01,2016,10,october,AZ,5.2
2016-11-01,2016,11,november,AZ,5.2
2016-12-01,2016,12,december,AZ,5.2
2017-01-01,2017,1,january,AZ,5.1
2017-02-01,2017,2,february,AZ,5.1
2017-03-01,2017,3,march,AZ,5.0
2017-04-01,2017,4,april,AZ,5.0
2017-05-01,2017,5,may,AZ,4.9
2017-06-01,2017,6,june,AZ,4.8
2017-07-01,2017,7,july,AZ,4.8
2017-08-01,2017,8,august,AZ,4.7
2017-09-01,2017,9,september,AZ,4.7
2017-10-01,2017,10,october,AZ,4.7
2017-11-01,2017,11,november,AZ,4.7
